order_item_id,order_id,product_name,quantity,price_per_unit
1,1,Keyboard,2,64.01
2,1,Charger,2,47.65
3,2,Smartphone,1,36.12
4,2,Charger,2,65.59
5,2,Tablet,3,62.46
6,2,Mouse,1,10.93
7,3,Smartwatch,4,71.82
8,3,Keyboard,4,76.25
9,4,Headphones,1,60.13
10,4,Laptop,3,93.8
11,4,Mouse,3,99.71
12,5,Laptop,1,32.83
13,5,Keyboard,3,97.98
14,5,Smartwatch,2,97.13
15,5,Monitor,1,62.24
16,5,Charger,2,55.34
17,6,Mouse,2,18.07
18,6,Monitor,4,22.76
19,6,Headphones,3,13.97
20,7,Mouse,3,77.3
21,7,Keyboard,3,91.25
22,8,Charger,5,38.17
23,8,Smartphone,3,76.32
24,8,Mouse,2,60.01
25,9,Laptop,2,23.38
26,9,Tablet,2,13.23
27,9,Charger,2,73.54
28,9,Keyboard,1,99.57
29,10,Laptop,4,42.09
30,10,Monitor,4,51.2
31,10,Headphones,2,21.13
32,10,Headphones,2,88.14
33,11,Smartphone,5,84.03
34,11,Tablet,5,99.82
35,12,Monitor,5,26.25
36,13,Tablet,4,70.92
37,14,Laptop,3,71.32
38,14,Headphones,4,43.62
39,14,Headphones,3,23.84
40,15,Mouse,4,50.86
41,16,Laptop,3,97.28
42,16,Mouse,3,95.27
43,16,Smartphone,2,87.7
44,17,Smartwatch,1,76.94
45,17,Monitor,5,44.33
46,17,Keyboard,3,26.02
47,18,Headphones,1,86.71
48,18,Smartphone,4,80.15
49,18,Charger,2,20.85
50,18,Mouse,4,76.23
51,19,Smartphone,3,69.9
52,19,Smartwatch,5,27.99
53,19,Mouse,4,52.88
54,20,Keyboard,1,78.08
55,20,Smartwatch,5,26.77
56,20,Keyboard,1,13.64
57,20,Smartwatch,4,70.88
58,20,Smartphone,4,57.46
59,21,Headphones,3,52.14
60,21,Headphones,4,37.04
61,21,Smartphone,3,85.74
62,21,Monitor,4,36.59
63,21,Laptop,5,16.89
64,22,Monitor,1,55.96
65,23,Headphones,4,69.48
66,23,Charger,3,32.94
67,23,Headphones,5,11.46
68,23,Mouse,2,80.76
69,24,Laptop,1,47.46
70,24,Charger,3,62.85
71,24,Mouse,4,66.14
72,24,Charger,3,97.0
73,25,Tablet,2,17.04
74,25,Charger,1,49.04
75,26,Laptop,4,20.5
76,27,Mouse,4,72.26
77,27,Mouse,3,65.66
78,28,Smartwatch,4,82.42
79,28,Headphones,2,22.16
80,28,Tablet,1,83.44
81,28,Tablet,1,28.83
82,28,Smartphone,2,49.22
83,29,Tablet,1,37.08
84,29,Mouse,2,52.66
85,29,Laptop,1,24.95
86,29,Smartphone,4,96.75
87,29,Mouse,1,87.38
88,30,Tablet,2,36.53
89,30,Keyboard,1,40.05
90,30,Headphones,4,98.15
91,30,Mouse,5,63.63
92,30,Monitor,3,13.33
93,31,Mouse,5,63.19
94,31,Mouse,2,74.29
95,31,Monitor,1,47.98
96,31,Smartwatch,5,15.72
97,32,Mouse,1,54.53
98,32,Smartwatch,4,72.78
99,32,Laptop,2,35.92
100,32,Tablet,4,40.95
101,33,Monitor,2,62.89
102,33,Smartwatch,5,86.81
103,34,Smartphone,3,75.07
104,34,Keyboard,4,84.98
105,34,Smartwatch,4,81.98
106,34,Smartphone,5,28.65
107,35,Mouse,2,25.6
